Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
124,Harvey Elliot\Harvey-Elliot,eng ENG,FW,Liverpool,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
125,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,31,1987,8.5,467,394,73,5,0,83,9,42,0,0,0,0,230,98,139,5,363,21,68,0,349,3,5,15,13,Matches
126,Björn Engels\Bjorn-Engels,be BEL,DF,Aston Villa,24,1994,16.1,605,586,19,17,0,91,29,2,0,0,0,0,399,68,138,53,491,31,2,1,503,2,9,5,4,Matches
127,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,27,1992,12.1,743,659,84,26,4,119,35,72,46,18,16,5,468,111,164,173,532,23,10,2,549,4,9,18,19,Matches
128,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,31,1988,28.6,1716,1661,55,50,1,223,41,4,0,0,0,0,1303,155,258,401,1198,76,5,4,1519,2,32,7,7,Matches
129,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,14.5,413,255,158,40,0,37,7,0,0,0,0,0,60,22,331,13,310,0,0,56,220,4,9,1,2,Matches
130,Fabinho\Fabinho,br BRA,MF,Liverpool,25,1993,16.0,1058,1039,19,12,4,197,29,8,0,0,0,0,698,160,200,69,921,43,4,0,914,2,12,7,13,Matches
131,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,0.2,10,7,3,0,0,0,0,0,0,0,0,0,6,1,3,2,6,0,0,2,7,0,1,0,0,Matches
132,Kiko Femenía\Kiko-Femenia,es ESP,DF,Watford,28,1991,17.0,857,682,175,14,0,115,14,42,2,1,1,0,486,198,173,97,555,33,159,3,676,1,15,26,17,Matches
133,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,24,1994,5.0,294,254,40,15,2,58,17,25,18,7,6,1,164,59,71,25,263,1,2,2,212,0,5,9,8,Matches
134,Gedson Fernandes\Gedson-Fernandes,pt POR,MFDF,Tottenham,20,1999,0.4,32,28,4,1,0,7,0,3,0,0,0,0,20,8,4,1,27,1,3,0,25,0,1,0,1,Matches
